bat (Tajlandia);1;THB;0,1134
dolar ameryka?ski;1;USD;3,7091
dolar australijski;1;AUD;2,6470
dolar Hongkongu;1;HKD;0,4732
dolar kanadyjski;1;CAD;2,8492
dolar nowozelandzki;1;NZD;2,4233
dolar singapurski;1;SGD;2,6933
euro;1;EUR;4,2927
forint (W?gry);100;HUF;1,3243
frank szwajcarski;1;CHF;3,7502
funt szterling;1;GBP;4,8720
hrywna (Ukraina);1;UAH;0,1329
jen (Japonia);100;JPY;3,3223
korona czeska;1;CZK;0,1664
korona du?ska;1;DKK;0,5754
korona islandzka;100;ISK;3,1940
korona norweska;1;NOK;0,4543
korona szwedzka;1;SEK;0,4129
kuna (Chorwacja);1;HRK;0,5788
lej rumu?ski;1;RON;0,9199
lew (Bu?garia);1;BGN;2,1949
lira turecka;1;TRY;0,6347
nowy izraelski szekel;1;ILS;1,0232
peso chilijskie;100;CLP;0,5457
peso meksyka?skie;1;MXN;0,1968
piso filipi?skie;1;PHP;0,0685
rand (Republika Po?udniowej Afryki);1;ZAR;0,2565
real (Brazylia);1;BRL;0,9805
ringgit (Malezja);1;MYR;0,8924
rubel rosyjski;1;RUB;0,0565
rupia indonezyjska;10000;IDR;2,4386
rupia indyjska;100;INR;5,0116
won po?udniowokorea?ski;100;KRW;0,3275
yuan renminbi (Chiny);1;CNY;0,5356
SDR (MFW);1;XDR;5,1823
